,18,,unsupervised,,,,,,weakly supervised,fully supervised,,
1115210,0.475,0.4702,13.08776,8.69636,3.7582,74.96374,51.55487,22.35962,0.87658,0.90141,0.26011,0.61222
1116380,0.0907,0.1212,3.01363,10.11382,3.58769,18.03591,59.21746,21.03255,0.00746,0.84773,0.26063,0.95281
1121353,0.1837,0.2496,2.82727,6.69366,1.96578,16.38938,39.99252,11.80576,0.11428,0.86709,0.6693,0.50461
1122767,0.3824,0.4741,8.44865,12.73819,2.9495,49.36665,75.5927,17.47953,0.19091,0.74042,0.87449,0.55333
1127540,0.8144,0.7698,1.68352,29.53547,8.17603,3.95392,69.36712,19.20226,0.94544,0.93219,0.45181,0.94053
1131069,0.1378,0.1345,10.59623,8.51821,2.63128,63.43479,50.6766,15.33863,0.30304,0.0162,0.01333,0.46366
1132532,0.163,0.25,1.63675,7.29216,1.29064,9.70528,43.37273,7.76579,0.9104,0.00973,0.07472,0.61274
1133579,0.5819,0.666,2.30369,8.122,2.28727,13.76413,47.69612,13.63276,0.60002,0.84158,0.72825,0.21114
1136043,0.142,0.1694,1.19219,10.10844,2.73728,6.99853,60.2093,16.09621,0.35763,0.01577,0.0298,0.7752
1136047,0.1745,0.1752,4.15309,4.99318,1.22082,24.05059,28.86794,7.31022,0.16027,0.09131,0.08141,0.49565
1136962,0.5526,0.5836,125.1878,15.28073,2.13386,745.7438,89.50887,12.86947,0.04903,0.83271,0.8261,0.65254
118440,0.0009,0.004,3.09765,11.39088,3.60495,18.31357,67.75255,20.89464,0.26507,0.0789,0.04364,0.01008
121171,0.3435,0.6817,1.06051,10.81512,6.668,5.03275,49.59541,31.14892,0.76628,0.57385,0.66573,0.84454
135802,0.7478,0.7944,2.03044,32.05892,7.97836,4.42803,69.91464,17.39934,0.98991,0.96918,0.84877,0.74741
141630,0.2144,0.3962,2.03908,5.98723,1.12954,12.23606,35.90584,6.57264,0.43276,0.13351,0.0221,0.41286
156498,0.1334,0.2027,5.20966,8.09058,2.07125,30.58147,47.53254,12.03356,0.05477,0.00894,0.06436,0.05936
169208,0.5407,0.4896,3.36887,6.20548,1.91338,90.00495,35.82234,11.34916,0.75588,0.85326,0.93612,0.81752
174463,0.0043,0.0077,0.85697,6.70154,1.58555,5.02731,38.71829,9.28205,0.01088,0.00619,0.01136,0.05264
23849,0.0048,0.0171,0.77645,5.42884,1.30716,4.61599,32.02607,7.83744,0.06231,0.08753,0.06375,0.04583
258062,0.0137,0.1182,1.59311,7.9771,2.30314,9.43343,46.71581,13.82762,0.07489,0.07258,0.01479,0.00195
324585,0.11,0.1035,3.08142,5.53735,1.58127,8.3747,33.17159,9.37932,0.01986,0.00751,0.0862,0.04157
330975,0.1527,0.2433,1.58384,8.40206,2.33112,9.17534,49.74054,13.5996,0.03702,0.00844,0.0967,0.00602
332593,0.4837,0.5404,7.62315,10.30035,2.52054,115.7861,58.83423,14.74895,0.75604,0.84189,0.86355,0.82933
336901,0.157,0.164,103.06978,11.64538,4.91484,11.175,68.91715,28.89178,0.03497,0.07608,0.05252,0.06169
390360,0.3692,0.3373,8.0358,5.64728,3.08078,97.93065,33.54224,18.09868,0.85226,0.56923,0.74484,0.7639
405163,0.0781,0.09,3.35242,6.18602,2.89155,9.50146,36.99867,17.00806,0.00949,0.07414,0.067,0.04539
42255,0.3092,0.2855,3.82374,9.6127,2.32023,22.25213,56.4334,13.89956,0.63684,0.80624,0.40442,0.7814
47210,0.2224,0.3725,4.94897,6.45924,1.73688,29.12344,38.19415,10.43419,0.23978,0.0197,0.02695,0.09981
555530,0.0033,0.0098,1.15429,6.34662,1.95011,7.02854,37.38762,11.89632,0.05752,0.08861,0.05805,0.04396
583468,0.4044,0.6868,2.47123,29.49907,7.30193,8.44657,105.47593,25.92204,0.9375,0.87043,0.44311,0.87122
640502,0.0526,0.1019,0.93838,8.87465,3.20666,5.5936,52.70084,18.59052,0.09011,0.02939,0.01653,0.04861
67316,0.0085,0.0235,2.57487,7.64342,2.25812,15.31913,46.49279,13.32892,0.08725,0.0101,0.08231,0.04012
673670,0.0627,0.1145,1.59676,16.63198,7.08912,5.92242,62.7651,16.30888,0.05287,0.0287,0.09277,0.00163
701453,0.8651,0.8438,14.08033,7.41687,3.63945,13.06818,44.09056,41.43894,0.83119,0.68768,0.88442,0.86061
730539,0.5672,0.5665,26.56862,11.94927,3.76973,164.6895,69.67101,42.39004,0.73257,0.96889,0.71474,0.8683
768208,0.3432,0.3697,3.02057,24.41623,8.89935,18.87293,71.72277,16.14188,0.86682,0.98224,0.85739,0.96319
877809,0.2926,0.4053,2.86264,6.30987,1.67429,16.894,37.03155,19.68419,0.58806,0.48077,0.67732,0.41387
911232,0.3242,0.2828,82.97224,7.83981,1.47996,48.24396,45.08592,18.88255,0.66322,0.88118,0.63896,0.79011
914916,0.2136,0.4245,1.35189,9.24693,3.34793,8.03136,54.67674,10.06338,0.04766,0.03661,0.04481,0.0131
938400,0.1434,0.2338,1.57787,7.68847,3.61118,9.53911,44.35215,1.243,0.09507,0.05211,0.02843,0.09311
940547,0.0759,0.1513,1.3314,4.84232,1.80703,7.69557,28.84646,10.6177,0.04002,0.09105,0.09143,0.07191
997622,0.217,0.2719,4.14387,10.18637,2.47596,34.57196,61.54817,14.87012,0.07918,0.08419,0.03834,0.02013
